,inside_18,first_touch,Open Play,Open Play - Counter Attack,Open Play - Unassisted,Set Piece - Corner,Set Piece - Direct Free Kick,Set Piece - Free Kick,Set Piece - Goal Kick,Set Piece - Penalty,Set Piece - Throw In,time,shot_distance,shot_angle
5624,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.133887400809521,-0.7484442541146485,-1.6544603462517165
5625,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.133887400809521,-1.2068901307444215,-0.24231226665843475
5626,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.133887400809521,-1.6426426045834,-0.446112250576346
5627,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7765886967302699,0.4262243565834335,0.817683597597675
5628,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.7051289559144196,0.014664766102499685,-0.20927956304221793
5629,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5622094742827192,-0.5343286905288351,1.2951831257642419
5630,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4192899926510188,-0.41381713272107745,0.6522251446628733
5631,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.27637051101931837,0.4931858971960618,-1.5123017467604962
5632,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.20491077020346815,-1.3010456676021123,0.9616118062111922
5633,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.20491077020346815,-0.8039599737820721,0.5572561217662491
5634,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.08092819305993272,-1.1471473866199202,1.5741914973797904
5635,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4382268971391838,0.08023445515320293,-0.7386876254628401
5636,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4382268971391838,-1.2934120151145567,0.4383973757186107
