,location_x,location_y,time,statsbomb_xg,outcome,player,team,bodypart,technique,first_touch,state_of_play,assist1,assist2,assist3,assist_state_of_play,inside_18_width,inside_18_depth,inside_18,shot_distance,shot_angle
5806,116.0,35.0,2021-06-14 00:12:27.947,0.17184763,Off T,Débora Cristiane de Oliveira,North Carolina Courage,Head,Normal,False,Open Play,High Pass,,Cross,Regular Play,True,True,True,6.4031242374328485,38.66
5807,110.0,31.0,2021-06-14 00:13:32.907,0.11876121,Saved,Crystal Alyssia Dunn,North Carolina Courage,Right Foot,Normal,False,Open Play,Ground Pass,,Cross,Regular Play,True,True,True,13.45362404707371,48.01
5808,112.0,32.0,2021-06-14 00:15:39.427,0.09214658,Goal,Crystal Alyssia Dunn,North Carolina Courage,Left Foot,Normal,True,Open Play,High Pass,,,Regular Play,True,True,True,11.313708498984761,45.0
5809,112.0,42.0,2021-06-14 00:18:33.267,0.03491715,Off T,Jessica McDonald,North Carolina Courage,Head,Normal,False,Open Play,High Pass,,,From Corner,True,True,True,8.246211251235321,104.04
5810,111.0,46.0,2021-06-14 00:19:50.987,0.0484662,Blocked,Samantha Mewis,North Carolina Courage,Right Foot,Normal,False,Open Play,,,,,True,True,True,10.816653826391969,123.69
5811,95.0,25.0,2021-06-14 00:21:56.307,0.016360335,Blocked,Crystal Alyssia Dunn,North Carolina Courage,Right Foot,Normal,False,Open Play,Ground Pass,,,Regular Play,True,False,False,29.154759474226502,59.04
5812,102.0,37.0,2021-06-14 00:24:10.467,0.052822799999999996,Blocked,"Denise O""Sullivan",North Carolina Courage,Right Foot,Normal,True,Open Play,,,,,True,False,False,18.24828759089466,80.54
5813,111.0,33.0,2021-06-14 00:26:11.400,0.019198328,Saved,Jessica McDonald,North Carolina Courage,Head,Normal,False,Open Play,High Pass,,,From Corner,True,True,True,11.40175425099138,52.13
5814,118.0,44.0,2021-06-14 00:26:39.867,0.5146782400000001,Goal,Samantha Mewis,North Carolina Courage,Left Foot,Normal,True,Open Play,,,,,True,True,True,4.47213595499958,153.43
5815,106.0,31.0,2021-06-14 00:30:33.947,0.014247632000000001,Wayward,Abby Erceg,North Carolina Courage,Head,Normal,False,Open Play,High Pass,,Cross,From Free Kick,True,True,True,16.64331697709324,57.26
5816,108.0,40.0,2021-06-14 00:36:26.667,0.022597153000000002,Saved,Jessica McDonald,North Carolina Courage,Head,Normal,False,Open Play,High Pass,,,Regular Play,True,True,True,12.0,90.0
5817,104.0,48.0,2021-06-14 00:41:37.187,0.12487324,Off T,Jessica McDonald,North Carolina Courage,Right Foot,Normal,False,Open Play,,,,,True,True,True,17.88854381999832,116.57
5818,109.0,43.0,2021-06-14 00:42:52.627,0.16425414,Blocked,Jessica McDonald,North Carolina Courage,Right Foot,Normal,True,Open Play,,,,,True,True,True,11.40175425099138,105.26
5819,112.0,44.0,2021-06-14 00:43:27.467,0.03671086,Wayward,Abby Erceg,North Carolina Courage,Head,Normal,False,Open Play,High Pass,,,From Corner,True,True,True,8.94427190999916,116.57
5820,92.0,55.0,2021-06-14 00:46:07.560,0.015201151000000001,Saved,Samantha Mewis,North Carolina Courage,Right Foot,Normal,False,Open Play,Ground Pass,,,From Throw In,True,False,False,31.76476034853718,118.18
5821,116.0,35.0,2021-06-14 00:46:09.467,0.35607279999999997,Off T,Débora Cristiane de Oliveira,North Carolina Courage,Right Foot,Normal,True,Open Play,,,,,True,True,True,6.4031242374328485,38.66
5822,106.0,52.0,2021-06-14 00:03:28.000,0.07061148,Blocked,Savannah McCaskill,Sky Blue FC,Right Foot,Normal,False,Open Play,Ground Pass,,,Regular Play,True,True,True,18.439088914585774,130.6
5823,103.0,37.0,2021-06-14 00:08:52.653,0.10887616,Saved,Sarah Killion,Sky Blue FC,Left Foot,Normal,True,Open Play,Low Pass,,Cross,Regular Play,True,True,True,17.26267650163207,79.99
5824,112.0,40.0,2021-06-14 00:12:20.360,0.3808079,Off T,Débora Cristiane de Oliveira,North Carolina Courage,Right Foot,Normal,True,Open Play,Ground Pass,,,Regular Play,True,True,True,8.0,90.0
5825,104.0,43.0,2021-06-14 00:19:24.400,0.037484482,Blocked,Crystal Alyssia Dunn,North Carolina Courage,Left Foot,Normal,False,Open Play,High Pass,,Cross,From Corner,True,True,True,16.278820596099706,100.62
5826,98.0,47.0,2021-06-14 00:21:34.120,0.09573544,Off T,Jaelene Hinkle,North Carolina Courage,Left Foot,Normal,False,Free Kick,,,,,True,False,False,23.08679276123039,107.65
5827,112.0,40.0,2021-06-14 00:22:12.360,0.10422597,Wayward,Jessica McDonald,North Carolina Courage,Head,Normal,False,Open Play,High Pass,,Cross,Regular Play,True,True,True,8.0,90.0
5828,101.0,58.0,2021-06-14 00:22:58.080,0.014339308,Off T,Débora Cristiane de Oliveira,North Carolina Courage,Right Foot,Normal,True,Open Play,High Pass,,,From Counter,False,False,False,26.1725046566048,133.45
5829,109.0,41.0,2021-06-14 00:26:40.480,0.76,Saved,Carli Lloyd,Sky Blue FC,Right Foot,Normal,False,Penalty,,,,,True,True,True,11.045361017187261,95.19
